sp,hosts
Nymphalidae_Heliconius_doris,1
Nymphalidae_Heliconius_xanthocles,1
Nymphalidae_Heliconius_wallacei,1
Nymphalidae_Heliconius_burneyi,1
Nymphalidae_Heliconius_egeria,1
Nymphalidae_Heliconius_elevatus,1
Nymphalidae_Heliconius_pardalinus,1
Nymphalidae_Heliconius_hecale,1
Nymphalidae_Heliconius_ethilla,1
Nymphalidae_Heliconius_melpomene,1
Nymphalidae_Heliconius_timareta,1
Nymphalidae_Heliconius_heurippa,1
Nymphalidae_Heliconius_pachinus,1
Nymphalidae_Heliconius_cydno,1
Nymphalidae_Heliconius_numata,1
Nymphalidae_Heliconius_besckei,1
Nymphalidae_Heliconius_ismenius,1
Nymphalidae_Heliconius_nattereri,1
Nymphalidae_Heliconius_aoede,1
Nymphalidae_Heliconius_metharme,1
Nymphalidae_Eueides_pavana,2
Nymphalidae_Eueides_vibilia,1
Nymphalidae_Eueides_procula,1
Nymphalidae_Eueides_isabella,1
Nymphalidae_Eueides_aliphera,1
Nymphalidae_Eueides_lybia,1
Nymphalidae_Eueides_tales,1
Nymphalidae_Dryadula_phaetusa,1
Rosaceae_Dryas_iulia,2
Nymphalidae_Philaethria_dido,1
Nymphalidae_Philaethria_wernickei,1
Bangiaceae_Dione_moneta,1
Bangiaceae_Dione_juno,1
Bangiaceae_Dione_glycera,1
Nymphalidae_Agraulis_vanillae,3
Nymphalidae_Heliconius_charitonius,1
Nymphalidae_Cethosia_hypsea,1
Nymphalidae_Cethosia_penthesilea,1
Nymphalidae_Cethosia_cyane,5
Nymphalidae_Cethosia_biblis,1
Nymphalidae_Cethosia_nietneri,1
Nymphalidae_Cethosia_cydippe,2
Nymphalidae_Actinote_rhodope,2
Nymphalidae_Actinote_pyrrha,3
Nymphalidae_Actinote_pellenea,3
Nymphalidae_Actinote_thalia,2
Nymphalidae_Actinote_parapheles,2
Nymphalidae_Actinote_alalia,1
Nymphalidae_Mycalesis_gotama,1
Nymphalidae_Actinote_mamita,3
Nymphalidae_Actinote_genitrix,1
Nymphalidae_Acraea_jodutta,1
Nymphalidae_Acraea_alciope,3
Nymphalidae_Acraea_johnstoni,1
Nymphalidae_Acraea_lycoa,1
Nymphalidae_Acraea_encedana,1
Nymphalidae_Acraea_pharsalus,2
Nymphalidae_Acraea_peneleos,1
Nymphalidae_Acraea_parrhasia,1
Nymphalidae_Acraea_circeis,1
Nymphalidae_Acraea_perenna,4
Nymphalidae_Acraea_igola,1
Nymphalidae_Acraea_vesperalis,1
Nymphalidae_Acraea_bonasia,4
Nymphalidae_Acraea_eponina,4
Nymphalidae_Acraea_oberthueri,1
Nymphalidae_Acraea_acerata,5
Nymphalidae_Acraea_rahira,2
Nymphalidae_Acraea_issoria,1
Nymphalidae_Acraea_andromacha,2
Nymphalidae_Acraea_endoscota,1
Nymphalidae_Acraea_quirina,2
Nymphalidae_Acraea_camaena,2
Nymphalidae_Acraea_egina,2
Nymphalidae_Acraea_abdera,1
Nymphalidae_Acraea_pseudegina,2
Nymphalidae_Acraea_zetes,3
Nymphalidae_Acraea_violae,6
Nymphalidae_Clossiana_kriemhild,1
Nymphalidae_Clossiana_improba,3
Nymphalidae_Clossiana_frigga,3
Nymphalidae_Clossiana_selene,5
Nymphalidae_Boloria_euphrosyne,1
Nymphalidae_Clossiana_thore,1
Nymphalidae_Clossiana_titania,6
Nymphalidae_Clossiana_freija,3
Nymphalidae_Clossiana_iphigenia,1
Nymphalidae_Clossiana_dia,3
Nymphalidae_Clossiana_astarte,1
Nymphalidae_Clossiana_alberta,1
Nymphalidae_Boloria_pales,3
Nymphalidae_Boloria_napaea,3
Nymphalidae_Boloria_aquilonaris,3
Nymphalidae_Boloria_sifanica,3
Nymphalidae_Argynnis_adippe,1
Nymphalidae_Speyeria_mormonia,1
Nymphalidae_Argynnis_aglaja,1
Nymphalidae_Brenthis_daphne,2
Nymphalidae_Brenthis_ino,2
Nymphalidae_Brenthis_hecate,2
Nymphalidae_Argynnis_paphia,4
Nymphalidae_Argynnis_anadyomene,1
Nymphalidae_Damora_sagana,1
Nymphalidae_Issoria_hanningtoni,1
Nymphalidae_Issoria_smaragdifera,1
Nymphalidae_Issoria_lathonia,4
Nymphalidae_Speyeria_atlantis,1
Nymphalidae_Ideopsis_similis,2
Nymphalidae_Euploea_midamus,2
Nymphalidae_Vindula_erota,1
Nymphalidae_Argyronome_laodice,1
Nymphalidae_Argyreus_hyperbius,2
Nymphalidae_Pardopsis_punctatissima,2
Nymphalidae_Euptoieta_claudia,9
Nymphalidae_Euptoieta_hegesia,3
Nymphalidae_Phalanta_phalantha,5
Nymphalidae_Vagrans_egista,3
Nymphalidae_Cupha_erymanthis,5
Nymphalidae_Cupha_prosope,2
Nymphalidae_Cirrochroa_emalea,1
Nymphalidae_Cirrochroa_tyche,1
Nymphalidae_Lachnoptera_anticlia,2
Nymphalidae_Vindula_arsinoe,1
Nymphalidae_Basilarchia_arthemis,5
Nymphalidae_Limenitis_populi,3
Nymphalidae_Adelpha_cytherea,1
Nymphalidae_Limenitis_moltrechti,1
Nymphalidae_Phaedyma_columella,4
Nymphalidae_Limenitis_helmanni,1
Nymphalidae_Limenitis_camilla,1
Nymphalidae_Limenitis_amphyssa,2
Nymphalidae_Adelpha_bredowii,1
Nymphalidae_Athyma_ranga,1
Nymphalidae_Athyma_selenophora,2
Nymphalidae_Athyma_fortuna,1
Nymphalidae_Limenitis_doerriesi,1
Nymphalidae_Limenitis_sulpitia,1
Nymphalidae_Moduza_procris,1
Nymphalidae_Basilarchia_archippus,5
Nymphalidae_Pseudacraea_lucretia,2
Nymphalidae_Dophla_evelina,4
Nymphalidae_Tanaecia_julii,1
Nymphalidae_Euthalia_monina,4
Nymphalidae_Euptera_elabontas,1
Nymphalidae_Hamanumida_daedalus,4
Nymphalidae_Aterica_galene,4
Nymphalidae_Bebearia_sophus,2
Nymphalidae_Catuna_crithea,2
Nymphalidae_Neptis_rivularis,2
Nymphalidae_Neptis_hylas,6
Nymphalidae_Neptis_sappho,1
Nymphalidae_Neptis_ida,1
Nymphalidae_Lasippa_tiga,1
Nymphalidae_Pantoporia_sandaka,1
Nymphalidae_Neptis_saclava,3
Nymphalidae_Neptis_pryeri,1
Nymphalidae_Pantoporia_hordonia,1
Nymphalidae_Harma_theobene,2
Nymphalidae_Cymothoe_caenis,2
Nymphalidae_Pseudoneptis_bugandensis,1
Nymphalidae_Parthenos_sylvia,3
Nymphalidae_Napeogenes_sylphis,1
Nymphalidae_Napeogenes_inachia,1
Nymphalidae_Napeogenes_tolosa,1
Nymphalidae_Hypothyris_semifulva,1
Nymphalidae_Hypothyris_fluonia,1
Nymphalidae_Hypothyris_euclea,1
Nymphalidae_Hypothyris_daphnis,1
Nymphalidae_Epityches_eupompe,1
Nymphalidae_Ithomia_salapia,1
Nymphalidae_Ithomia_iphianassa,1
Nymphalidae_Ithomia_diasia,1
Nymphalidae_Ithomia_celemia,1
Nymphalidae_Ithomia_patilla,1
Nymphalidae_Ithomia_xenos,1
Nymphalidae_Ithomia_drymo,1
Nymphalidae_Ithomia_agnosia,1
Nymphalidae_Ithomia_amarilla,1
Nymphalidae_Pteronymia_vestilla,1
Nymphalidae_Episcada_clausina,1
Nymphalidae_Ceratinia_tutia,1
Nymphalidae_Callithomia_lenea,1
Nymphalidae_Callithomia_hezia,1
Nymphalidae_Dircenna_dero,1
Nymphalidae_Pseudoscada_timna,1
Nymphalidae_Mcclungia_cymo,1
Nymphalidae_Hypoleria_lavinia,1
Nymphalidae_Godyris_zavaleta,1
Nymphalidae_Methona_confusa,1
Nymphalidae_Methona_themisto,4
Nymphalidae_Oleria_rubescens,1
Nymphalidae_Oleria_zelica,1
Nymphalidae_Oleria_victorine,1
Nymphalidae_Oleria_vicina,1
Nymphalidae_Hyposcada_virginiana,1
Nymphalidae_Mechanitis_mazaeus,1
Nymphalidae_Mechanitis_lysimnia,1
Nymphalidae_Mechanitis_polymnia,1
Nymphalidae_Forbestra_olivencia,1
Nymphalidae_Scada_zibia,1
Nymphalidae_Tithorea_harmonia,1
Nymphalidae_Melinaea_menophilus,1
Nymphalidae_Thyridia_psidii,1
Nymphalidae_Danaus_chrysippus,2
Nymphalidae_Danaus_gilippus,1
Nymphalidae_Danaus_plexippus,2
Nymphalidae_Danaus_erippus,2
Nymphalidae_Danaus_genutia,1
Nymphalidae_Danaus_eresimus,2
Nymphalidae_Tirumala_limniace,5
Nymphalidae_Tirumala_septentrionis,3
Nymphalidae_Tirumala_hamata,2
Nymphalidae_Parantica_luzonensis,1
Nymphalidae_Parantica_sita,1
Nymphalidae_Parantica_agleoides,2
Nymphalidae_Parantica_aspasia,1
Nymphalidae_Ideopsis_vulgaris,1
Nymphalidae_Ideopsis_gaura,1
Nymphalidae_Amauris_ellioti,1
Nymphalidae_Amauris_tartarea,1
Nymphalidae_Amauris_niavius,2
Nymphalidae_Euploea_eunice,2
Nymphalidae_Euploea_mulciber,5
Nymphalidae_Euploea_camaralzeman,1
Nymphalidae_Idea_stolli,2
Nymphalidae_Idea_lynceus,2
Nymphalidae_Idea_leuconoe,2
Nymphalidae_Anetia_briarea,1
Nymphalidae_Lycorea_ilione,3
Nymphalidae_Euploea_core,4
Nymphalidae_Parantica_aglea,1
Nymphalidae_Tellervo_zoilus,2
Lycaenidae_Hypolycaena_philippus,10
Nymphalidae_Libytheana_carinenta,2
Nymphalidae_Libythea_celtis,1
Nymphalidae_Libytheana_bachmanii,2
Nymphalidae_Acraea_obeira,2
Nymphalidae_Symbrenthia_lilaea,1
Nymphalidae_Cissia_confusa,3
Nymphalidae_Capronnieria_galesus,1
Nymphalidae_Taygetis_ypthima,1
Nymphalidae_Taygetis_virgilia,1
Nymphalidae_Hermeuptychia_hermes,1
Nymphalidae_Hermeuptychia_sosybius,1
Nymphalidae_Godartiana_muscosa,1
Nymphalidae_Cissia_penelope,1
Nymphalidae_Megisto_cymela,1
Nymphalidae_Palaeonympha_opalina,1
Nymphalidae_Cyllopsis_gemma,1
Nymphalidae_Cyllopsis_pertepida,1
Nymphalidae_Acraea_ranavalona,1
Nymphalidae_Lymanopoda_samius,1
Nymphalidae_Lasiommata_maera,1
Nymphalidae_Praepedaliodes_phanias,1
Nymphalidae_Argyrophorus_argenteus,1
Nymphalidae_Oeneis_norna,2
Nymphalidae_Neominois_ridingsii,1
Nymphalidae_Oeneis_taygete,1
Nymphalidae_Oeneis_chryxus,2
Nymphalidae_Oeneis_jutta,3
Nymphalidae_Satyrus_ferula,1
Nymphalidae_Satyrus_actaea,1
Nymphalidae_Chazara_briseis,1
Nymphalidae_Arethusana_arethusa,1
Nymphalidae_Brintesia_circe,2
Nymphalidae_Hipparchia_semele,1
Nymphalidae_Hipparchia_fagi,1
Nymphalidae_Hipparchia_fidia,1
Nymphalidae_Pseudotergumia_fidia,1
Nymphalidae_Hipparchia_statilinus,2
Nymphalidae_Melanargia_lachesis,1
Nymphalidae_Melanargia_galathea,1
Nymphalidae_Melanargia_russiae,1
Nymphalidae_Melanargia_ines,1
Nymphalidae_Melanargia_halimede,1
Nymphalidae_Melanargia_occitanica,1
Nymphalidae_Minois_dryas,1
Nymphalidae_Cercyonis_oetus,1
Nymphalidae_Hyponephele_lycaon,1
Nymphalidae_Erebia_tyndarus,1
Nymphalidae_Erebia_euryale,1
Nymphalidae_Erebia_ligea,2
Nymphalidae_Erebia_oeme,2
Nymphalidae_Erebia_palarica,1
Nymphalidae_Erebia_triaria,1
Nymphalidae_Erebia_pharte,1
Nymphalidae_Erebia_epiphron,1
Nymphalidae_Erebia_meolans,1
Nymphalidae_Erebia_pandrose,1
Nymphalidae_Erebia_pronoe,1
Nymphalidae_Erebia_montana,1
Nymphalidae_Erebia_medusa,1
Nymphalidae_Erebia_alberganus,1
Nymphalidae_Maniola_jurtina,1
Nymphalidae_Aphantopus_hyperantus,2
Nymphalidae_Pyronia_cecilia,1
Nymphalidae_Pyronia_bathseba,1
Nymphalidae_Pyronia_tithonus,1
Nymphalidae_Cercyonis_pegala,1
Nymphalidae_Cercyonis_meadii,1
Nymphalidae_Ypthima_baldus,1
Nymphalidae_Pseudonympha_magus,1
Nymphalidae_Cassionympha_cassius,2
Nymphalidae_Stygionympha_vigilans,2
Nymphalidae_Calisto_pulchella,1
Nymphalidae_Geitoneura_acantha,1
Nymphalidae_Nesoxenica_leprea,1
Nymphalidae_Heteronympha_merope,1
Nymphalidae_Heteronympha_penelope,1
Nymphalidae_Paratisiphone_lyrnessa,1
Nymphalidae_Oreixenica_lathoniella,1
Nymphalidae_Tisiphone_helena,2
Nymphalidae_Tisiphone_abeona,1
Nymphalidae_Hypocysta_adiante,1
Nymphalidae_Erebiola_butleri,1
Nymphalidae_Dodonidia_helmsii,2
Nymphalidae_Coenonympha_tullia,2
Nymphalidae_Coenonympha_pamphilus,1
Nymphalidae_Coenonympha_glycerion,1
Nymphalidae_Coenonympha_arcania,1
Nymphalidae_Coenonympha_hero,3
Nymphalidae_Coenonympha_dorus,2
Nymphalidae_Coenonympha_oedippus,3
Nymphalidae_Manataria_hercyna,1
Nymphalidae_Orsotriaena_medus,1
Nymphalidae_Coelites_euptychioides,1
Nymphalidae_Lethe_europa,1
Nymphalidae_Erebia_aethiops,1
Nymphalidae_Lethe_chandica,1
Nymphalidae_Erebia_niphonica,1
Nymphalidae_Enodia_anthedon,1
Nymphalidae_Enodia_portlandia,1
Nymphalidae_Satyrodes_eurydice,1
Nymphalidae_Lethe_minerva,1
Nymphalidae_Lethe_confusa,1
Nymphalidae_Aphysoneura_pigmentaria,1
Nymphalidae_Neope_bremeri,1
Nymphalidae_Pararge_aegeria,1
Nymphalidae_Lasiommata_petropolitana,1
Nymphalidae_Lasiommata_megera,1
Nymphalidae_Lopinga_achine,2
Nymphalidae_Mycalesis_sangaica,1
Nymphalidae_Mycalesis_janardana,1
Nymphalidae_Henotesia_perspicua,1
Nymphalidae_Henotesia_simonsii,2
Nymphalidae_Bicyclus_iccius,1
Nymphalidae_Bicyclus_medontias,1
Nymphalidae_Bicyclus_dorothea,1
Nymphalidae_Bicyclus_vulgaris,1
Nymphalidae_Bicyclus_dubia,1
Nymphalidae_Bicyclus_safitza,1
Nymphalidae_Bicyclus_anynana,1
Nymphalidae_Mycalesis_terminus,1
Nymphalidae_Mycalesis_visala,1
Nymphalidae_Mycalesis_perseus,1
Nymphalidae_Mycalesis_mineus,1
Nymphalidae_Elymnias_bammakoo,1
Nymphalidae_Mycalesis_francisca,1
Nymphalidae_Mycalesis_orseis,1
Nymphalidae_Lethe_diana,1
Nymphalidae_Mycalesis_sirius,1
Nymphalidae_Melanitis_leda,2
Nymphalidae_Mycalesis_maianeas,1
Nymphalidae_Mycalesis_anapita,1
Nymphalidae_Discophora_sondaica,1
Nymphalidae_Dingana_dingana,1
Nymphalidae_Aeropetes_tulbaghia,1
Nymphalidae_Torynesis_mintha,1
Nymphalidae_Torynesis_hawequas,1
Nymphalidae_Dira_clytus,1
Nymphalidae_Dira_oxylus,1
Nymphalidae_Dira_jansei,1
Nymphalidae_Dira_swanepoeli,1
Nymphalidae_Paralethe_dendrophilus,1
Nymphalidae_Gnophodes_chelys,1
Nymphalidae_Amathusia_phidippus,2
Nymphalidae_Discophora_necho,1
Nymphalidae_Thauria_aliris,1
Nymphalidae_Stichophthalma_howqua,2
Nymphalidae_Elymnias_hypermnestra,2
Nymphalidae_Elymnias_nesaea,1
Nymphalidae_Elymnias_casiphone,1
Nymphalidae_Xanthotaenia_busiris,1
Nymphalidae_Opsiphanes_cassina,2
Nymphalidae_Opsiphanes_quiteria,1
Nymphalidae_Dynastor_darius,2
Nymphalidae_Dasyophthalma_rusina,2
Nymphalidae_Caligo_idomeneus,3
Nymphalidae_Brassolis_sophorae,3
Nymphalidae_Morpho_peleides,2
Nymphalidae_Calinaga_buddha,1
Nymphalidae_Charaxes_bernardus,6
Nymphalidae_Charaxes_marmax,1
Nymphalidae_Charaxes_amycus,1
Nymphalidae_Charaxes_affinis,1
Nymphalidae_Charaxes_latona,3
Nymphalidae_Charaxes_antamboulou,1
Nymphalidae_Charaxes_candiope,2
Nymphalidae_Charaxes_tiridates,7
Nymphalidae_Charaxes_cithaeron,5
Nymphalidae_Charaxes_nandina,3
Nymphalidae_Charaxes_xiphares,5
Nymphalidae_Charaxes_smaragdalis,1
Nymphalidae_Charaxes_bohemani,2
Nymphalidae_Charaxes_bipunctatus,2
Nymphalidae_Charaxes_numenes,5
Nymphalidae_Charaxes_ameliae,1
Nymphalidae_Charaxes_pythodoris,1
Nymphalidae_Charaxes_lactetinctus,2
Nymphalidae_Charaxes_druceanus,4
Nymphalidae_Charaxes_eudoxus,3
Nymphalidae_Charaxes_pollux,4
Nymphalidae_Charaxes_ansorgei,1
Nymphalidae_Charaxes_brutus,5
Nymphalidae_Charaxes_lucretius,2
Nymphalidae_Charaxes_jasius,8
Nymphalidae_Charaxes_castor,5
Nymphalidae_Charaxes_legeri,2
Nymphalidae_Charaxes_fulvescens,1
Nymphalidae_Charaxes_acuminatus,2
Nymphalidae_Charaxes_varanes,2
Nymphalidae_Charaxes_cynthia,5
Nymphalidae_Charaxes_lasti,1
Nymphalidae_Charaxes_boueti,2
Nymphalidae_Charaxes_protoclea,3
Nymphalidae_Charaxes_hadrianus,1
Nymphalidae_Charaxes_zingha,1
Nymphalidae_Charaxes_congdoni,1
Nymphalidae_Charaxes_marieps,1
Nymphalidae_Charaxes_cacuthis,1
Nymphalidae_Charaxes_kirki,1
Nymphalidae_Charaxes_galawadiwosi,1
Nymphalidae_Charaxes_plantroui,1
Nymphalidae_Charaxes_virilis,1
Nymphalidae_Charaxes_howarthi,1
Nymphalidae_Charaxes_berkeleyi,3
Nymphalidae_Charaxes_ethalion,2
Nymphalidae_Charaxes_etheocles,3
Nymphalidae_Charaxes_mafuga,1
Nymphalidae_Charaxes_guderiana,1
Nymphalidae_Charaxes_blanda,1
Nymphalidae_Charaxes_penricei,2
Nymphalidae_Charaxes_etesipe,4
Nymphalidae_Charaxes_achaemenes,2
Nymphalidae_Charaxes_jahlusa,3
Nymphalidae_Charaxes_opinatus,1
Nymphalidae_Charaxes_baumanni,1
Nymphalidae_Charaxes_anticlea,1
Nymphalidae_Charaxes_eupale,2
Nymphalidae_Charaxes_dilutus,1
Nymphalidae_Charaxes_montis,1
Nymphalidae_Charaxes_subornatus,1
Nymphalidae_Euxanthe_eurinome,2
Nymphalidae_Euxanthe_crossleyi,1
Nymphalidae_Euxanthe_tiberius,1
Nymphalidae_Euxanthe_trajanus,2
Nymphalidae_Charaxes_nichetes,1
Nymphalidae_Polyura_athamas,1
Nymphalidae_Polyura_moori,1
Nymphalidae_Polyura_schreiber,9
Nymphalidae_Charaxes_paphianus,1
Nymphalidae_Charaxes_pleione,1
Nymphalidae_Charaxes_zoolina,1
Nymphalidae_Charaxes_lycurgus,4
Nymphalidae_Charaxes_solon,1
Nymphalidae_Polyura_narcaea,5
Nymphalidae_Palla_violinitens,2
Nymphalidae_Palla_ussheri,2
Nymphalidae_Palla_decius,2
Nymphalidae_Fountainea_ryphea,1
Nymphalidae_Anaea_troglodyta,1
Nymphalidae_Consul_fabius,2
Nymphalidae_Zaretis_itys,3
Nymphalidae_Siderone_galanthis,1
Nymphalidae_Hypna_clytemnestra,1
Nymphalidae_Agatasa_calydonia,1
Nymphalidae_Prothoe_franck,1
Nymphalidae_Anaea_andria,1
Lycaenidae_Agrodiaetus_antidolus,1
Lycaenidae_Agrodiaetus_hamadanensis,1
Lycaenidae_Agrodiaetus_poseidon,1
Lycaenidae_Agrodiaetus_firdussii,1
Lycaenidae_Agrodiaetus_demavendi,1
Lycaenidae_Agrodiaetus_ripartii,1
Lycaenidae_Agrodiaetus_turcicus,1
Lycaenidae_Agrodiaetus_dolus,1
Lycaenidae_Agrodiaetus_damon,1
Lycaenidae_Polyommatus_icarus,1
Lycaenidae_Lysandra_syriaca,1
Meleageria_daphnis,1
Plebicula_dorylas,1
Lycaenidae_Lysandra_bellargus,1
Lycaenidae_Lysandra_coridon,1
Lycaenidae_Aricia_eumedon,1
Lycaenidae_Aricia_artaxerxes,2
Lycaenidae_Aricia_agestis,2
Lycaenidae_Aricia_nicias,1
Lycaenidae_Lycaeides_melissa,2
Lycaenidae_Lycaeides_argyrognomon,1
Lycaenidae_Plebejus_argus,6
Lycaenidae_Agriades_glandon,2
Lycaenidae_Cyaniris_semiargus,2
Lycaenidae_Albulina_orbitulus,1
Lycaenidae_Plebejus_acmon,2
Lycaenidae_Pseudolucia_collina,1
Lycaenidae_Hemiargus_hanno,2
Lycaenidae_Hemiargus_ceraunus,1
Lycaenidae_Cyclargus_ammon,1
Lycaenidae_Chilades_trochylus,1
Lycaenidae_Chilades_pandava,3
